layer,source_layer,transform,present,total_n,valid_n,valid_fraction,nan_fraction,mean,std,min,p01,p05,p50,p95,p99,max,attr_mean_value,attr_min_value,attr_max_value,attr_sample_stddev,cc_valid_n,cc_n_unique,cc_dominant_component,cc_dominant_fraction,mask_valid_n,mask_unique_values,mask_fill_255_fraction
unwrapped_phase,unwrapped_phase,native,True,1247048,645326,0.5174828875873262,0.4825171124126738,2.7155608991488016,0.8255994217272427,-6.665637493133545,1.2170904278755188,1.5799365043640137,2.6287354230880737,4.00655210018158,4.4255534410476685,11.661399841308594,2.3328702449798584,-9.120562553405762,15.894978523254395,1.4741408824920654,,,,,,,
coherence_unw,coherence_unw,native,True,1247048,645326,0.5174828875873262,0.4825171124126738,0.7103694177808393,0.1662483016352379,0.005946200806647539,0.09091371670365334,0.35947392880916595,0.7616710066795349,0.8774828761816025,0.9069681167602539,0.9795422554016113,0.6664256453514099,0.00436597503721714,0.9991580843925476,0.18087634444236755,,,,,,,
coherence_wrapped,coherence_wrapped,native,True,19949895,10324833,0.5175382126071341,0.48246178739286594,0.7084769318207462,0.17331795562760766,0.005227563437074423,0.16016829431056975,0.3224610030651093,0.7594350576400757,0.8954582691192627,0.9266895270347595,0.9944198131561279,0.2765386998653412,0.0,0.9994806051254272,0.35809916257858276,,,,,,,
ionosphere,ionosphere,native,True,1247048,645326,0.5174828875873262,0.4825171124126738,28.996011992813127,0.8420097275168089,26.397449493408203,27.1227126121521,27.78101682662964,28.998638153076172,30.362120628356934,30.56524896621704,30.753093719482422,28.40128517150879,0.0,33.75749588012695,2.358987808227539,,,,,,,
ionosphere_unc,ionosphere_unc,native,True,1247048,645326,0.5174828875873262,0.4825171124126738,204.82142855829542,49.39447277596613,144.650146484375,148.05830764770508,153.6772346496582,186.12985229492188,312.7447280883789,358.17181396484375,386.41864013671875,227.8214111328125,0.0,43371.96484375,127.49678039550781,,,,,,,
wrapped_ifg_amplitude,wrapped_ifg,magnitude,True,19949895,10324833,0.5175382126071341,0.48246178739286594,0.29852094924718736,0.7004660393908158,5.6945514188555535e-06,0.0024189684353768826,0.014035592786967756,0.17775726318359375,0.820731902122498,2.4590560054778905,131.57449340820312,,,,,,,,,,,
wrapped_ifg_amplitude_db,wrapped_ifg,magnitude_db,True,19949895,10324833,0.5175382126071341,0.48246178739286594,-16.487320294686555,10.998716488354743,-104.8908096248099,-52.327395972415836,-37.05538480821227,-15.00345289819614,-1.7159737015512468,7.815368399465425,42.38343413119531,,,,,,,,,,,
wrapped_ifg_phase,wrapped_ifg,angle,True,19949895,10324833,0.5175382126071341,0.48246178739286594,0.7383774837400128,2.2716018522775703,-3.141592502593994,-3.109357280731201,-2.9801867961883546,1.926821231842041,2.985596752166748,3.1094210147857666,3.141591787338257,,,,,,,,,,,
along_track_offset,along_track_offset,native,True,1247048,642731,0.5154019733001456,0.4845980266998544,0.03220157978222677,0.07620646039220556,-0.22171449661254883,-0.18672704547643662,-0.13841966539621353,0.05409328639507294,0.11622709035873413,0.12324923425912857,0.1260681301355362,-0.13075554370880127,-0.885837197303772,0.13459017872810364,0.21703486144542694,,,,,,,
slant_range_offset,slant_range_offset,native,True,1247048,645326,0.5174828875873262,0.4825171124126738,-0.8856702468879463,0.011284825351562007,-0.9125832319259644,-0.9102745056152344,-0.9068779945373535,-0.8831488192081451,-0.8720965385437012,-0.8713083863258362,-0.8708629608154297,-0.9109546542167664,-1.0590234994888306,-0.8625482320785522,0.03439543768763542,,,,,,,
corr_peak,corr_peak,native,True,1247048,645326,0.5174828875873262,0.4825171124126738,0.6543818438107387,0.10373384188755616,0.021273773163557053,0.3361048400402069,0.4679926186800003,0.6703470349311829,0.7972924709320068,0.8479543775320053,0.9614842534065247,0.5873434543609619,-0.19102954864501953,0.9907273054122925,0.17307032644748688,,,,,,,
incidence_angle,incidence_angle,native,True,31850,16529,0.5189638932496076,0.48103610675039243,43.920659604079205,1.3787602708846711,41.16647720336914,41.48330841064453,41.804413604736325,43.91769790649414,46.29475479125976,46.78200973510742,46.96646499633789,,,,,,,,,,,
parallel_baseline,parallel_baseline,native,True,31850,16529,0.5189638932496076,0.48103610675039243,-68.09000475542668,2.0950695060238003,-72.76345825195312,-72.48004425048828,-71.71336975097657,-68.07832336425781,-64.86206665039063,-64.40484497070312,-63.8952751159668,-62.98637390136719,-73.40814208984375,-51.0291633605957,6.088442325592041,,,,,,,
perpendicular_baseline,perpendicular_baseline,native,True,31850,16529,0.5189638932496076,0.48103610675039243,-109.3988029807238,1.406786845656147,-112.21245574951172,-111.90925659179688,-111.55163269042968,-109.3938217163086,-107.00194396972657,-106.53339477539062,-106.35153198242188,-111.82807922363281,-118.35181427001953,-105.43876647949219,3.4162240028381348,,,,,,,
reference_slant_range,reference_slant_range,native,True,31850,16529,0.5189638932496076,0.48103610675039243,1002669.3664461774,19213.992682361837,966115.5140675702,970029.5083335228,974080.6808966942,1002069.6534724861,1036698.2059887965,1044235.4049472234,1047129.3237672873,,,,,,,,,,,
hydro_tropo,hydro_tropo,native,True,31850,16529,0.5189638932496076,0.48103610675039243,-0.11225622730813363,0.27813382572122414,-0.5273965836878002,-0.5120481743623116,-0.5020865031274246,-0.08384653783987563,0.3542313150234509,0.4380717150176805,0.5143573755333346,,,,,,,,,,,
